NAME,TEAM,SALARY(M),GP,MPG,PPG,FG_PC,3P_PC,FT_PC,RPG,APG,STPG,BLKPG,POSITION
Luol Deng,Cleveland Cavaliers,14.3,63,35.1,16,0.43,0.3,0.79,5.7,2.9,1,0.1,SF
Matt Barnes,Los Angeles Clippers,3.3,63,27.5,9.9,0.44,0.34,0.73,4.6,2,0.9,0.4,SF
Travis Outlaw,Sacramento Kings,3,63,16.9,5.4,0.4,0.35,0.81,2.7,0.8,0.3,0.3,SF
Chris Paul,Los Angeles Clippers,18.7,62,35,19.1,0.47,0.37,0.86,4.3,10.7,2.5,0.1,PG
Donatas Motiejunas,Houston Rockets,1.4,62,15.4,5.5,0.44,0.25,0.6,3.6,0.5,0.3,0.3,PF
Kendrick Perkins,Oklahoma City Thunder,8.7,62,19.5,3.4,0.45,0,0.55,4.9,1.1,0.4,0.5,C
Michael Kidd-Gilchrist,Charlotte Bobcats,4.8,62,24.2,7.2,0.47,0.11,0.61,5.2,0.8,0.7,0.6,SF
Perry Jones,Oklahoma City Thunder,1.1,62,12.3,3.5,0.46,0.36,0.67,1.8,0.4,0.2,0.3,SF
Ty Lawson,Denver Nuggets,10.8,62,35.8,17.6,0.43,0.36,0.8,3.5,8.8,1.6,0.2,PG
Wilson Chandler,Denver Nuggets,6.3,62,31.1,13.6,0.42,0.35,0.72,4.7,1.8,0.7,0.5,SF
Chuck Hayes,Toronto Raptors,5.7,61,12.3,2.2,0.43,0,0.8,3.4,0.6,0.6,0.2,C
Luke Ridnour,Charlotte Bobcats,4.4,61,18.7,5,0.39,0.34,0.65,1.6,2.9,0.5,0.1,PG
Matt Bonner,San Antonio Spurs,3.9,61,11.3,3.2,0.45,0.43,0.75,2.1,0.5,0.3,0.2,C
Thabo Sefolosha,Oklahoma City Thunder,3.9,61,26,6.3,0.42,0.32,0.77,3.6,1.5,1.3,0.3,SF
Tobias Harris,Orlando Magic,1.5,61,30.3,14.6,0.46,0.25,0.81,7,1.3,0.7,0.4,SF
Avery Bradley,Boston Celtics,2.5,60,30.9,14.9,0.44,0.4,0.8,3.8,1.4,1.1,0.2,PG
Gorgui Dieng,Minnesota Timberwolves,1.4,60,13.6,4.8,0.5,1,0.63,5,0.7,0.5,0.8,C
Jordan Hamilton,Houston Rockets,1.2,60,17,6.7,0.39,0.35,0.78,3.2,0.9,0.7,0.3,SG
Louis Williams,Atlanta Hawks,5.2,60,24.1,10.4,0.4,0.34,0.85,2.1,3.5,0.8,0.1,SG
Pau Gasol,Los Angeles Lakers,19.3,60,31.4,17.4,0.48,0.29,0.74,9.7,3.4,0.5,1.5,PF
